Past Paper Question Bank (Done),Year-Month-Question,Exam Series,Total Mark,Your Marks,Textbook,Textbook Sub-Topic,Status,Difficulty/Style,Question Type,Unit Topic,Unit Sub-Topic
No,2022-January-Q6aii,2022-January,11,,Chapter 8 Differentiation,8a Gradients of curves,Not started,Easy ,Sub-Question/One Question,4. Differentiation,4.1 The derivative of f(x) as the gradient of the tangent to the graph of y=f(x) at a point; the gradient of the tangent as a limit; interpretation as a rate of change; second order derivatives.
No,2022-January-Q6b,2022-January,11,,Chapter 9 Integration  Chapter 1 Algebraic Expressions,1a Index laws  9c Finding functions,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions  5. Integration,"1.1 Laws of indices for all rational exponents.  5.2 Integration of $xⁿ$ and related sums, differences and constant multiples."
No,2022-January-Q7a,2022-January,11,,Chapter 4 Graphs and Transformations,4a Cubic graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.5 Completing the square. Solution of quadratic equations.
No,2022-January-Q7b,2022-January,11,,Chapter 4 Graphs and Transformations,4a Cubic graphs  4d Translating graphs,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax).  1.5 Completing the square. Solution of quadratic equations."
No,2022-January-Q7c,2022-January,11,,Chapter 8 Differentiation  Chapter 1 Algebraic Expressions,8e Differentiating functions with two or more terms  1b Expanding brackets,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions  4. Differentiation,"1.10 Algebraic manipulation of polynomials, including expanding brackets and collecting like terms, factorisation.  4.2 Differentiation of $xⁿ$, and related sums. differences and constant multiples."
No,2022-January-Q7d,2022-January,11,,Chapter 3 Equations and Inequalities,3e Quadratic inequalities,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.7 Interpret linear and quadratic inequalities graphically.
No,2022-January-Q8a,2022-January,9,,Chapter 5 Straight Line Graphs,5a $y=mx+c$,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane","2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2022-January-Q8b,2022-January,9,,Chapter 5 Straight Line Graphs,5c Parallel and perpendicular lines,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane",2.2 Conditions for two straight lines to be parallel or perpendicular to each other.
No,2022-January-Q8c,2022-January,9,,Chapter 4 Graphs and Transformations,4c Points of intersection,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2022-January-Q8d,2022-January,9,,Chapter 5 Straight Line Graphs,5b Equations of straight lines,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane","2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2022-January-Q9a,2022-January,4,,Chapter 6 Trigonometric Ratios,6f Transforming trigonometric graphs,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2022-January-Q9b,2022-January,4,,Chapter 6 Trigonometric Ratios,6f Transforming trigonometric graphs,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2022-January-Q10a,2022-January,9,,Chapter 3 Equations and Inequalities,4b Reciprocal graphs,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,"1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2022-January-Q10b,2022-January,9,,Chapter 3 Equations and Inequalities  Chapter 2 Quadratics,3f Inequalities on graphs  2f The discriminant,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,1.7 Interpret linear and quadratic inequalities graphically.  1.4 The discriminant of a quadratic function.
No,2022-June-Q1,2022-June,4,,Chapter 9 Integration,9b Indefinite integrals,Not started,Medium ,Main Question,5. Integration,"5.2 Integration of $xⁿ$ and related sums, differences and constant multiples."
No,2022-June-Q2a,2022-June,2,,Chapter 6 Trigonometric Ratios,6b The sine rule,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$."
No,2022-June-Q2b,2022-June,3,,Chapter 6 Trigonometric Ratios,"6d Solving triangle problems  6e Graphs of sine, cosine and tangent",Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2022-June-Q3i,2022-June,2,,Chapter 1 Algebraic Expressions,1e Surds  1a Index laws,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.1 Laws of indices for all rational exponents.  1.2 Use and manipulation of surds.
No,2022-June-Q3ii,2022-June,3,,Chapter 1 Algebraic Expressions,1e Surds  1f Rationalising denominators,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.2 Use and manipulation of surds.
No,2022-June-Q4i,2022-June,3,,Chapter 4 Graphs and Transformations,4d Translating graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax)."
No,2022-June-Q4ii,2022-June,3,,Chapter 4 Graphs and Transformations,4e Stretching graphs,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax)."
No,2022-June-Q5a,2022-June,4,,Chapter 2 Quadratics,2d Quadratic graphs  2c Functions,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.3 Quadratic functions and their graphs.
No,2022-June-Q5b,2022-June,3,,Chapter 5 Straight Line Graphs,5c Parallel and perpendicular lines  5b Equations of straight lines,Not started,Medium ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane","2.2 Conditions for two straight lines to be parallel or perpendicular to each other.  2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2022-June-Q6a,2022-June,2,,Chapter 2 Quadratics,2a Solving quadratic equations,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2022-June-Q6b,2022-June,5,,Chapter 3 Equations and Inequalities  Chapter 1 Algebraic Expressions,1c Factorising  3b Quadratic simultaneous equations,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2022-June-Q7a,2022-June,4,,Chapter 8 Differentiation,8e Differentiating functions with two or more terms  8g Second order derivatives,Not started,Hard ,Sub-Question/One Question,4. Differentiation,"4.2 Differentiation of $xⁿ$, and related sums. differences and constant multiples."
No,2022-June-Q7b,2022-June,5,,Chapter 9 Integration,9b Indefinite integrals  9c Finding functions,Not started,Hard ,Sub-Question/One Question,5. Integration,"5.2 Integration of $xⁿ$ and related sums, differences and constant multiples.  5.1 Indefinite integration as the reverse of differentiation."
No,2022-June-Q8a,2022-June,3,,Chapter 7 Radians,7b Arc length,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2022-June-Q8b,2022-June,2,,Chapter 7 Radians,7b Arc length,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2022-June-Q8c,2022-June,5,,Chapter 7 Radians,7c Areas of sectors and segments,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2022-June-Q9ai,2022-June,1,,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent",Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2022-June-Q9aii,2022-June,1,,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent",Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2022-June-Q9aiii,2022-June,1,,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent",Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2022-June-Q9b,2022-June,2,,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent  6f Transforming trigonometric graphs",Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2022-June-Q9c,2022-June,3,,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent",Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2022-June-Q10a,2022-June,2,,Chapter 8 Differentiation,8e Differentiating functions with two or more terms,Not started,Easy ,Sub-Question/One Question,4. Differentiation,"4.2 Differentiation of $xⁿ$, and related sums. differences and constant multiples."
No,2022-June-Q10b,2022-June,4,,Chapter 5 Straight Line Graphs  Chapter 8 Differentiation,5c Parallel and perpendicular lines  8a Gradients of curves,Not started,Hard ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane  4. Differentiation","2.2 Conditions for two straight lines to be parallel or perpendicular to each other.  4.1 The derivative of f(x) as the gradient of the tangent to the graph of y=f(x) at a point; the gradient of the tangent as a limit; interpretation as a rate of change; second order derivatives.  4.3 Applications of differentiation to gradients, tangents and normals."
No,2022-June-Q10c,2022-June,2,,Chapter 2 Quadratics  Chapter 1 Algebraic Expressions,1c Factorising  2a Solving quadratic equations,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.5 Completing the square. Solution of quadratic equations.
No,2022-June-Q10d,2022-June,4,,Chapter 5 Straight Line Graphs  Chapter 2 Quadratics,5b Equations of straight lines  2c Functions,Not started,Medium ,Sub-Question/One Question,"1. Algebra and functions  2. Coordinate geometry in the x,y) plane","1.3 Quadratic functions and their graphs.  2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2022-October-Q1a,2022-October,6,,Chapter 8 Differentiation,8e Differentiating functions with two or more terms,Not started,Medium ,Sub-Question/One Question,4. Differentiation,"4.2 Differentiation of $xⁿ$, and related sums. differences and constant multiples."
No,2022-October-Q1b,2022-October,6,,Chapter 8 Differentiation,"8f Gradients, tangents and normals",Not started,Medium ,Sub-Question/One Question,4. Differentiation,"4.3 Applications of differentiation to gradients, tangents and normals."
No,2022-October-Q2a,2022-October,7,,Chapter 1 Algebraic Expressions,1b Expanding brackets,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.10 Algebraic manipulation of polynomials, including expanding brackets and collecting like terms, factorisation."
No,2022-October-Q2b,2022-October,7,,Chapter 1 Algebraic Expressions  Chapter 9 Integration,9b Indefinite integrals  1a Index laws,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions  5. Integration,1.1 Laws of indices for all rational exponents.  5.1 Indefinite integration as the reverse of differentiation.
No,2022-October-Q3a,2022-October,5,,Chapter 3 Equations and Inequalities,3a Linear simultaneous equations,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2022-October-Q3b,2022-October,5,,Chapter 5 Straight Line Graphs,5a $y=mx+c$,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane","2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2022-October-Q4a,2022-October,6,,Chapter 1 Algebraic Expressions,1c Factorising,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,"1.10 Algebraic manipulation of polynomials, including expanding brackets and collecting like terms, factorisation."
No,2022-October-Q4b,2022-October,6,,Chapter 1 Algebraic Expressions,1a Index laws,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.1 Laws of indices for all rational exponents.
No,2022-October-Q5a,2022-October,9,,Chapter 9 Integration,9c Finding functions,Not started,Medium ,Sub-Question/One Question,5. Integration,"5.2 Integration of $xⁿ$ and related sums, differences and constant multiples."
No,2022-October-Q5b,2022-October,9,,Chapter 8 Differentiation,"8f Gradients, tangents and normals",Not started,Medium ,Sub-Question/One Question,4. Differentiation,"4.3 Applications of differentiation to gradients, tangents and normals."
No,2022-October-Q6ai,2022-October,6,,Chapter 4 Graphs and Transformations,4a Cubic graphs,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,"1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2022-October-Q6aii,2022-October,6,,Chapter 4 Graphs and Transformations,4b Reciprocal graphs,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,"1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2022-October-Q6b,2022-October,6,,Chapter 4 Graphs and Transformations,4c Points of intersection,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2022-October-Q7a,2022-October,8,,Chapter 3 Equations and Inequalities,3f Inequalities on graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.7 Interpret linear and quadratic inequalities graphically.
No,2022-October-Q7b,2022-October,8,,Chapter 2 Quadratics,2a Solving quadratic equations,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.5 Completing the square. Solution of quadratic equations.
No,2022-October-Q7ci,2022-October,8,,Chapter 4 Graphs and Transformations,4f Transforming functions,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax)."
No,2022-October-Q7cii,2022-October,8,,Chapter 3 Equations and Inequalities,3f Inequalities on graphs,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,1.7 Interpret linear and quadratic inequalities graphically.  1.8 Represent linear and quadratic inequalities graphically.
No,2022-October-Q8ai,2022-October,14,,Chapter 7 Radians,7c Areas of sectors and segments,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2022-October-Q8aii,2022-October,14,,Chapter 7 Radians,7b Arc length,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2022-October-Q8b,2022-October,14,,Chapter 6 Trigonometric Ratios,6c Areas of triangles,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$."
No,2022-October-Q8c,2022-October,14,,Chapter 6 Trigonometric Ratios,6a The cosine rule,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$."
No,2022-October-Q8d,2022-October,14,,Chapter 7 Radians  Chapter 6 Trigonometric Ratios,6c Areas of triangles  6b The sine rule  7c Areas of sectors and segments,Not started,Very Hard ,Sub-Question/One Question,3. Trigonometry,"3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$.  3.2 Radian measure, including use for arc length and area of sector."
No,2022-October-Q9a,2022-October,14,,Chapter 2 Quadratics,2b Completing the square,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.5 Completing the square. Solution of quadratic equations.
No,2022-October-Q9b,2022-October,14,,Chapter 2 Quadratics,2d Quadratic graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.3 Quadratic functions and their graphs.
No,2022-October-Q9ci,2022-October,14,,Chapter 8 Differentiation,"8f Gradients, tangents and normals",Not started,Hard ,Sub-Question/One Question,4. Differentiation,"4.3 Applications of differentiation to gradients, tangents and normals."
No,2022-October-Q9cii,2022-October,14,,Chapter 5 Straight Line Graphs,5b Equations of straight lines,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane","2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2022-October-Q9d,2022-October,14,,Chapter 3 Equations and Inequalities,3f Inequalities on graphs,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,1.7 Interpret linear and quadratic inequalities graphically.
No,2023-January-Q1a,2023-January,5,,Chapter 8 Differentiation,8e Differentiating functions with two or more terms,Not started,Easy ,Sub-Question/One Question,4. Differentiation,"4.2 Differentiation of $xⁿ$, and related sums. differences and constant multiples."
No,2023-January-Q1b,2023-January,5,,Chapter 8 Differentiation,"8f Gradients, tangents and normals",Not started,Easy ,Sub-Question/One Question,4. Differentiation,"4.3 Applications of differentiation to gradients, tangents and normals."
No,2023-January-Q2a,2023-January,5,,Chapter 5 Straight Line Graphs,5c Parallel and perpendicular lines,Not started,Medium ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane",2.2 Conditions for two straight lines to be parallel or perpendicular to each other.
No,2023-January-Q2b,2023-January,5,,Chapter 5 Straight Line Graphs,5c Parallel and perpendicular lines,Not started,Medium ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane",2.2 Conditions for two straight lines to be parallel or perpendicular to each other.
No,2023-January-Q3,2023-January,5,,Chapter 9 Integration  Chapter 1 Algebraic Expressions,1a Index laws  9b Indefinite integrals,Not started,Hard ,Main Question,1. Algebra and functions  5. Integration,1.1 Laws of indices for all rational exponents.  5.1 Indefinite integration as the reverse of differentiation.
No,2023-January-Q4,2023-January,4,,Chapter 2 Quadratics,2f The discriminant,Not started,Hard ,Main Question,1. Algebra and functions,1.4 The discriminant of a quadratic function.
No,2023-January-Q5a,2023-January,6,,Chapter 1 Algebraic Expressions,1a Index laws,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.1 Laws of indices for all rational exponents.
No,2023-January-Q5b,2023-January,6,,Chapter 2 Quadratics,2a Solving quadratic equations,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.5 Completing the square. Solution of quadratic equations.
No,2023-January-Q6a,2023-January,10,,Chapter 7 Radians,7c Areas of sectors and segments,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2023-January-Q6b,2023-January,10,,Chapter 7 Radians,7a Radian measure,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2023-January-Q6c,2023-January,10,,Chapter 6 Trigonometric Ratios,6c Areas of triangles,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$."
No,2023-January-Q6d,2023-January,10,,Chapter 7 Radians  Chapter 6 Trigonometric Ratios,6a The cosine rule  7b Arc length,Not started,Hard ,Sub-Question/One Question,3. Trigonometry,"3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$.  3.2 Radian measure, including use for arc length and area of sector."
No,2023-January-Q7a,2023-January,10,,Chapter 4 Graphs and Transformations,4b Reciprocal graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2023-January-Q7b,2023-January,10,,Chapter 4 Graphs and Transformations,4f Transforming functions,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax)."
No,2023-January-Q7c,2023-January,10,,Chapter 5 Straight Line Graphs,5a $y=mx+c$,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane","2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2023-January-Q7d,2023-January,10,,Chapter 3 Equations and Inequalities,3b Quadratic simultaneous equations,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.5 Completing the square. Solution of quadratic equations.
No,2023-January-Q8a,2023-January,8,,Chapter 5 Straight Line Graphs,5b Equations of straight lines,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane","2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2023-January-Q8b,2023-January,8,,Chapter 2 Quadratics,2d Quadratic graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.3 Quadratic functions and their graphs.
No,2023-January-Q8c,2023-January,8,,Chapter 2 Quadratics,2b Completing the square,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.5 Completing the square. Solution of quadratic equations.
No,2023-January-Q8d,2023-January,8,,Chapter 3 Equations and Inequalities,3f Inequalities on graphs,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,1.7 Interpret linear and quadratic inequalities graphically.
No,2023-January-Q9a,2023-January,4,,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent",Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2023-January-Q9bi,2023-January,4,,Chapter 6 Trigonometric Ratios,6f Transforming trigonometric graphs,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2023-January-Q9bii,2023-January,4,,Chapter 6 Trigonometric Ratios  Chapter 4 Graphs and Transformations,"4c Points of intersection  6e Graphs of sine, cosine and tangent",Not started,Medium ,Sub-Question/One Question,3. Trigonometry  1. Algebra and functions,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity.  1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2023-January-Q9biii,2023-January,4,,Chapter 6 Trigonometric Ratios  Chapter 4 Graphs and Transformations,"4c Points of intersection  6e Graphs of sine, cosine and tangent",Not started,Hard ,Sub-Question/One Question,3. Trigonometry  1. Algebra and functions,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity.  1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2023-January-Q10a,2023-January,10,,Chapter 3 Equations and Inequalities,3e Quadratic inequalities,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,1.7 Interpret linear and quadratic inequalities graphically.
No,2023-January-Q10b,2023-January,10,,Chapter 1 Algebraic Expressions,1b Expanding brackets,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.10 Algebraic manipulation of polynomials, including expanding brackets and collecting like terms, factorisation."
No,2023-January-Q10c,2023-January,10,,Chapter 8 Differentiation  Chapter 5 Straight Line Graphs  Chapter 4 Graphs and Transformations,5b Equations of straight lines  8a Gradients of curves  4c Points of intersection,Not started,Very Hard ,Sub-Question/One Question,"1. Algebra and functions  2. Coordinate geometry in the x,y) plane  4. Differentiation","2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$  1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations.  4.3 Applications of differentiation to gradients, tangents and normals."
No,2023-January-Q11a,2023-January,8,,Chapter 5 Straight Line Graphs,5c Parallel and perpendicular lines,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane",2.2 Conditions for two straight lines to be parallel or perpendicular to each other.
No,2023-January-Q11b,2023-January,8,,Chapter 9 Integration,9c Finding functions,Not started,Very Hard ,Sub-Question/One Question,5. Integration,"5.2 Integration of $xⁿ$ and related sums, differences and constant multiples."
No,2023-June-Q1,2023-June,4,,Chapter 3 Equations and Inequalities,3e Quadratic inequalities,Not started,Hard ,Main Question,1. Algebra and functions,1.9 Solutions of linear and quadratic inequalities.
No,2023-June-Q2a,2023-June,6,,Chapter 2 Quadratics,2a Solving quadratic equations,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.5 Completing the square. Solution of quadratic equations.
No,2023-June-Q2b,2023-June,6,,Chapter 2 Quadratics,2a Solving quadratic equations,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.5 Completing the square. Solution of quadratic equations.
No,2023-June-Q2c,2023-June,6,,Chapter 2 Quadratics,2a Solving quadratic equations,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.5 Completing the square. Solution of quadratic equations.
No,2023-June-Q3a,2023-June,6,,Chapter 2 Quadratics,2b Completing the square,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.5 Completing the square. Solution of quadratic equations.
No,2023-June-Q3b,2023-June,6,,Chapter 2 Quadratics,2d Quadratic graphs,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.3 Quadratic functions and their graphs.
No,2023-June-Q4a,2023-June,7,,Chapter 1 Algebraic Expressions,1a Index laws,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.1 Laws of indices for all rational exponents.
No,2023-June-Q4b,2023-June,7,,Chapter 8 Differentiation,8e Differentiating functions with two or more terms,Not started,Hard ,Sub-Question/One Question,4. Differentiation,"4.2 Differentiation of $xⁿ$, and related sums. differences and constant multiples."
No,2023-June-Q5a,2023-June,10,,Chapter 6 Trigonometric Ratios  Chapter 7 Radians,6d Solving triangle problems  7a Radian measure,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$.  3.2 Radian measure, including use for arc length and area of sector."
No,2023-June-Q5b,2023-June,10,,Chapter 7 Radians,7b Arc length,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2023-June-Q5c,2023-June,10,,Chapter 7 Radians,7c Areas of sectors and segments,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2023-June-Q6a,2023-June,7,,Chapter 1 Algebraic Expressions,1b Expanding brackets,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.10 Algebraic manipulation of polynomials, including expanding brackets and collecting like terms, factorisation."
No,2023-June-Q6b,2023-June,7,,Chapter 1 Algebraic Expressions,1f Rationalising denominators,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.10 Algebraic manipulation of polynomials, including expanding brackets and collecting like terms, factorisation."
No,2023-June-Q6c,2023-June,7,,Chapter 2 Quadratics  Chapter 1 Algebraic Expressions,1b Expanding brackets  1f Rationalising denominators,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,"1.10 Algebraic manipulation of polynomials, including expanding brackets and collecting like terms, factorisation."
No,2023-June-Q7ai,2023-June,6,,Chapter 3 Equations and Inequalities,3d Linear inequalities,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,1.7 Interpret linear and quadratic inequalities graphically.
